"","label","Total_AMreads"
"1","Oh43_M_T1_1",552
"2","Oh43_M_T1_2",73852.994
"3","Oh43_M_T1_3",22031
"4","Oh43_M_T1_4",114
"5","Oh43_M_T1_5",97
"6","Oh43_M_T2_1",493145.996
"7","Oh43_M_T2_2",569284.993000001
"8","Oh43_M_T2_3",697177.994
"9","Oh43_M_T2_4",918994.002
"10","Oh43_M_T2_5",738253.001999999
"11","Oh43_C_T1_1",28
"12","Oh43_C_T1_2",43
"13","Oh43_C_T1_4",12
"14","Oh43_C_T1_5",11
"15","Oh43_C_T2_1",43
"16","Oh43_C_T2_2",158
"17","Oh43_C_T2_3",402
"18","Oh43_C_T2_4",81
"19","Oh43_C_T2_5",11
"20","B73_M_T1_1",17465.999
"21","B73_M_T1_2",26877
"22","B73_M_T1_3",89410.001
"23","B73_M_T1_4",46196
"24","B73_M_T1_5",86268.001
"25","B73_M_T2_1",444339.997
"26","B73_M_T2_2",407647.002
"27","B73_M_T2_3",412553.003
"28","B73_M_T2_4",323723.003
"29","B73_M_T2_5",461445.997
"30","B73_C_T1_2",32
"31","B73_C_T1_3",16
"32","B73_C_T2_2",13
"33","B73_C_T2_3",160
"34","B73_C_T2_5",795.999
"35","W22_M_T1_1",110096.998
"36","W22_M_T1_2",1630
"37","W22_M_T1_3",2925.999
"38","W22_M_T1_4",12890.999
"39","W22_M_T1_5",93219
"40","W22_M_T2_1",1418447.994
"41","W22_M_T2_2",1307387.002
"42","W22_M_T2_3",663787.002000001
"43","W22_M_T2_4",794413.999000001
"44","W22_M_T2_5",626082.992
"45","W22_C_T1_2",55
"46","W22_C_T1_4",20
"47","W22_C_T2_1",271.999
"48","W22_C_T2_2",153
"49","W22_C_T2_3",86
"50","W22_C_T2_4",49
"51","W22_C_T2_5",63
"52","Oh43xB73_M_T1_1",16547
"53","Oh43xB73_M_T1_2",1307
"54","Oh43xB73_M_T1_3",56293.001
"55","Oh43xB73_M_T1_4",27930
"56","Oh43xB73_M_T1_5",3627
"57","Oh43xB73_M_T2_1",562623.998
"58","Oh43xB73_M_T2_2",643689.993
"59","Oh43xB73_M_T2_3",728538.997
"60","Oh43xB73_M_T2_4",404326.997
"61","Oh43xB73_M_T2_5",1007235.011
"62","Oh43xB73_C_T1_1",34
"63","Oh43xB73_C_T1_3",17
"64","Oh43xB73_C_T2_2",678
"65","Oh43xW22_M_T1_1",6731.001
"66","Oh43xW22_M_T1_2",14816
"67","Oh43xW22_M_T1_3",22719
"68","Oh43xW22_M_T1_4",45772
"69","Oh43xW22_M_T1_5",18532
"70","Oh43xW22_M_T2_1",302247
"71","Oh43xW22_M_T2_2",1150908
"72","Oh43xW22_M_T2_3",1465334.994
"73","Oh43xW22_M_T2_4",813410.005
"74","Oh43xW22_M_T2_5",1372678.989
"75","Oh43xW22_C_T2_1",27
"76","Oh43xW22_C_T2_2",1399
"77","Oh43xW22_C_T2_3",910
"78","Oh43xW22_C_T2_4",27
"79","Oh43xW22_C_T2_5",43
