geneID,time,Myc_gene,Gen_type,Gen_sign_Mock,Gen_sign_Myc,ASE_type,ASE_sign,F0_Oh43_logFC,F0_Oh43_adj.P.Val,F1_allele_logFC,F1_allele_adj.P.Val,myc_Oh43_logFC,myc_Oh43_adj.P.Val,mock_Oh43_logFC,mock_Oh43_adj.P.Val,Working.Symbol,v4.Gene.Model.ID,v3.Gene.Model.ID,Full.Name,Working.Source,chr,start_V5_bp,end_V5_bp,pos_v5_bp,chr_start_bp,pos_v5_cum_bp,armando_hotlist
Zm00001eb247260,T1,NA,5_Constitutive,up,up,NA,NA,NA,NA,NA,NA,4.97761174071476,8.76801751316367e-7,3.78357347255655,1.15046311566723e-4,109939982,Zm00001d017233,GRMZM2G079596,NA,NA,chr5,189011633,189014193,189012913,1040475889,1229488802,NA
Zm00001eb247260,T2,NA,3_Modulated,up,up,NA,NA,NA,NA,NA,NA,2.50179282944022,0.013672757845813,5.6925901395102,1.83802738545109e-6,109939982,Zm00001d017233,GRMZM2G079596,NA,NA,chr5,189011633,189014193,189012913,1040475889,1229488802,NA
Zm00001eb228910,T1,NA,6_Fixed,down,down,NA,NA,NA,NA,NA,NA,-0.343188328023551,0.00939897734661714,-0.738773990050429,0.00104116153308016,2,Zm00001d014887,GRMZM2G057000,nana plant2,NA,chr5,67086927,67090775,67088851,1040475889,1107564740,NA
Zm00001eb228910,T2,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-0.460298680574338,2.09298596221343e-4,-0.62569603245928,0.0964791224249586,2,Zm00001d014887,GRMZM2G057000,nana plant2,NA,chr5,67086927,67090775,67088851,1040475889,1107564740,NA
Zm00001eb068310,T1,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-2.39888533413106,0.0460903327720152,-1.1678130532148,0.0805490262771714,A0A1D6DW15,Zm00001d002055,A0A1D6DW15,NA,NA,chr2,5302769,5303560,5303164,308452471,313755635,NA
Zm00001eb068310,T2,signi,Ambiguous,down,up,Trans,up,1.0811822231883499,0.0421138181400337,0.300718273595728,0.258351298288154,0.740817182791059,0.0240527328014204,-0.330474489940418,0.771913174056479,A0A1D6DW15,Zm00001d002055,A0A1D6DW15,NA,NA,chr2,5302769,5303560,5303164,308452471,313755635,NA
Zm00001eb068320,T1,NA,Ambiguous,down,down,NA,NA,NA,NA,NA,NA,-3.81593296167053,7.84842832720882e-4,-0.814616072087656,0.329609873057671,A0A1D6DW25,Zm00001d002057,A0A1D6DW25,NA,NA,chr2,5305017,5305795,5305406,308452471,313757877,NA
Zm00001eb068320,T2,NA,Ambiguous,up,down,NA,NA,NA,NA,NA,NA,-1.11676632281185,0.010702688444253,0.232543640444859,0.721839203884531,A0A1D6DW25,Zm00001d002057,A0A1D6DW25,NA,NA,chr2,5305017,5305795,5305406,308452471,313757877,NA
Zm00001eb089590,T1,NA,6_Fixed,down,down,NA,NA,NA,NA,NA,NA,-0.272540896734062,0.00655687870369256,-0.485575331448549,8.35277972100801e-5,A0A1D6EFZ8,Zm00001d004543,A0A1D6EFZ8,NA,NA,chr2,117262167,117266429,117264298,308452471,425716769,NA
Zm00001eb089590,T2,signi,2_Mock conditional,down,down,Trans,up,0.534388637242038,0.026284827344154,0.310225193735769,0.180492651826879,-0.0594846040062884,0.647093586432075,-0.519802498251201,7.70208148793321e-4,A0A1D6EFZ8,Zm00001d004543,A0A1D6EFZ8,NA,NA,chr2,117262167,117266429,117264298,308452471,425716769,NA
Zm00001eb238800,T1,NA,2_Mock conditional,down,down,NA,NA,NA,NA,NA,NA,-0.181130944388164,0.305180353676609,-0.886359381500983,4.16580636214581e-6,A0A1D6H658,Zm00001d016185,A0A1D6H658,NA,NA,chr5,148319126,148320979,148320052,1040475889,1188795941,NA
